id,timestamp,user_id,action,reason,price_sek,target_power_kw,reported_soc,house_base_load_kw
27325,2026-03-06 15:46:13.622245+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (5.0% <= 15.0%),1.1717625,0,5,3
27323,2026-03-06 15:41:12.643957+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),1.087475,0,7,3
27321,2026-03-06 15:36:12.458253+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),1.087475,0,14,3
27319,2026-03-06 15:31:11.854675+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),1.087475,0,18,3
27317,2026-03-06 15:26:10.804153+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),0.99665,0,22,3
27315,2026-03-06 15:21:10.418132+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),0.99665,0,25,3
27313,2026-03-06 15:16:10.525445+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),0.99665,0,29,3
27311,2026-03-06 15:11:10.576063+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),0.837175,0,33,3
27309,2026-03-06 15:06:10.456397+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),0.837175,0,36,3
27307,2026-03-06 15:01:10.52224+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Väntar på säljtopp,0.837175,0,39,3
27305,2026-03-06 14:56:09.702063+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),1.0551625,0,43,3
27303,2026-03-06 14:51:09.580399+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),1.0551625,0,47,3
27300,2026-03-06 14:40:59.559314+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),0.9077,0,55,3
27298,2026-03-06 14:35:58.623522+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),0.9077,0,58,3
27296,2026-03-06 14:30:57.599877+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),0.9077,0,62,3
27294,2026-03-06 14:25:56.602229+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),0.8980875,0,66,3
27292,2026-03-06 14:20:56.357292+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),0.8980875,0,71,3
27290,2026-03-06 14:15:55.652412+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),0.8980875,0,76,3
27288,2026-03-06 14:10:54.995948+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),0.78375,0,81,3
27286,2026-03-06 14:05:54.537843+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),0.78375,0,86,3
27284,2026-03-06 14:00:53.750219+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (0.33 kW),0.78375,0,87,3
27282,2026-03-06 13:55:53.563587+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (1.20 kW),0.8763125,0,87,3
27280,2026-03-06 13:50:53.391396+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (1.20 kW),0.8763125,0,87,3
27278,2026-03-06 13:45:53.414419+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (1.20 kW),0.8763125,0,87,3
27276,2026-03-06 13:40:52.613531+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (1.20 kW),0.7789375,0,87,3
27274,2026-03-06 13:35:52.577373+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (1.20 kW),0.7789375,0,87,3
27272,2026-03-06 13:30:50.446171+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (1.20 kW),0.7789375,0,88,3
